rollout_id,env_id,ep_rew_total,ep_len,timestep_global,terminal_status,x_pos,y_pos,x_vel,y_vel,angle,angular_vel,leg1_contact,leg2_contact,reward_hover_high,reward_spin_angle,reward_spin_rate,reward_wander_position,reward_wander_velocity,reward_action_preference,reward_anti_landing,reward_survival
0,2,163.117998,82,1496,landed_centered,-0.0064029694,-0.042739347,1.5015245e-14,-4.356862e-14,0.00023969355,1.9915929e-12,1.0,1.0,140.3978448328562,4.290703444145038,1.9621521655945753,0.775163125465042,1.2921343645139207,6.200000000000007,0.0,8.199999999999987
0,1,263.622679,105,1736,crashed,0.04019928,-0.02673718,0.1488278,-0.6798752,-0.19343422,5.0890465,1.0,0.0,204.81326150149107,24.726117246143986,6.583987780926691,4.307533714803867,6.491778768482618,6.200000000000004,0.0,10.499999999999979
0,6,313.057314,107,1736,crashed,-0.4038824,-0.11927074,-0.9155224,-0.7550693,-0.08081108,4.550871,1.0,0.0,216.82805913873017,13.508584732655436,8.454788690782152,34.26414939947426,20.201731860637665,9.100000000000007,0.0,10.699999999999978
0,0,183.942494,82,1776,landed_off_centered,0.22388001,-0.027528074,0.1509939,-0.6171957,-0.082232796,4.132044,1.0,1.0,134.11318737268448,4.651317984098569,5.943078033335041,14.196516085416079,11.038394436240196,5.800000000000008,0.0,8.199999999999987
0,4,361.149634,117,1800,crashed,-0.4835287,-0.1341226,-0.75070524,-0.76653343,-0.012028315,4.733176,1.0,0.0,254.13110187277198,8.354985362733714,6.7171019145753235,46.02744926139712,24.0189957767725,10.2,0.0,11.699999999999974
0,5,452.463616,93,1880,out_of_bounds,-1.0132647,0.7408343,-1.6296768,-1.2659886,1.3122118,0.27594763,0.0,0.0,250.8457043170929,62.00717021711171,13.04113107174635,60.97128838300705,50.79832175374031,5.500000000000003,0.0,9.299999999999983
0,3,174.479882,66,1968,crashed,0.38175136,-0.055173244,0.86440456,-0.72968674,-0.5161144,4.4001837,1.0,0.0,102.56556554557756,13.154093642020598,8.851191577967256,18.200243143364787,19.108788430690765,6.000000000000004,0.0,6.5999999999999925
0,2,243.25291,97,2272,landed_off_centered,-0.36598772,-0.1451324,-0.7647239,-0.9639048,0.3085327,4.54362,1.0,1.0,169.93218026205432,7.667972548864782,4.682404096442042,25.760879466310143,18.309474006295204,7.20000000000001,0.0,9.699999999999982
0,4,222.703517,70,2360,crashed,0.6419237,-0.05861563,1.4025557,-0.7679416,-0.61036265,3.642831,1.0,0.0,112.33553167432547,26.284459912218153,9.131907673552632,31.89948221296072,32.052135437726974,4.000000000000002,0.0,6.999999999999991
0,1,274.908797,86,2424,crashed,-0.35490078,0.065996945,-0.37216908,0.14487754,1.8530023,1.2943963,0.0,1.0,156.77741362154484,49.34756908612326,17.794304367154837,18.42764189792797,18.06186816096306,5.900000000000005,0.0,8.599999999999985
0,0,351.899573,82,2432,crashed,-0.90922344,0.047785815,-1.9907761,-0.3310628,2.5762322,4.183993,0.0,0.0,153.52261561900377,64.31706526596099,25.35094401985407,49.62650154158473,45.48244631290436,5.400000000000004,0.0,8.199999999999987
0,5,173.953203,72,2456,crashed,0.14454384,-0.019153144,0.30917567,-0.6079107,0.3079384,-5.0486345,0.0,1.0,127.76535536535084,8.618005343014374,7.196063813287765,8.044018377549946,7.029759984463453,8.100000000000007,0.0,7.19999999999999
0,7,576.529495,148,2504,out_of_bounds,-0.9685175,0.07370618,-0.1334776,0.033379816,0.56082463,0.39513284,0.0,0.0,369.16003677248955,36.56204248126596,7.6215601288713515,90.28981066774577,48.09604521095753,10.0,0.0,14.799999999999963
0,6,445.634405,101,2544,out_of_bounds,-1.0149733,0.21930686,-1.5780576,-1.5401051,1.3013058,0.37217236,0.0,0.0,237.39901864528656,56.8163362974301,12.926465775817633,68.93414199352264,50.858442425727844,8.600000000000005,0.0,10.09999999999998
0,3,245.218525,102,2784,landed_centered,0.010849667,-0.042741276,-8.766506e-08,7.553421e-08,-0.0007941493,3.9672577e-07,1.0,1.0,207.64675607345998,9.749302315947716,3.266471905508567,3.208198227570392,2.3477960719777684,8.800000000000006,0.0,10.19999999999998
0,2,237.122717,68,2816,crashed,0.5404274,0.21075433,0.22293368,0.13702652,-1.6075993,-0.9109293,1.0,0.0,124.2311575114727,32.91061304975301,14.144535705447197,26.65846759825945,26.977943256497383,5.400000000000004,0.0,6.799999999999992
0,4,137.860755,67,2896,landed_centered,0.15434189,-0.041714277,-2.6348507e-08,-2.995997e-08,0.012852649,1.1928182e-07,1.0,1.0,107.34101258218288,0.890732119733002,1.3041254187045297,8.211999277584255,7.512885881723601,5.900000000000004,0.0,6.699999999999992
0,0,215.080707,79,3064,crashed,-0.56476486,-0.30691263,-0.15125856,0.052575376,0.47522214,-0.49216062,1.0,1.0,112.99371841922402,22.484756459482014,5.848509876057506,30.982333729043603,27.771388664841652,7.100000000000007,0.0,7.899999999999988
0,5,254.616153,83,3120,crashed,0.511335,-0.06047905,0.06866077,0.064742066,-1.3994253,-0.35759452,1.0,0.0,137.22927975654602,37.06328162364662,11.731293994933367,28.7062898715958,25.68600818887353,5.900000000000004,0.0,8.299999999999986
0,7,260.676211,79,3136,crashed,0.49978894,-0.0031301999,0.7060145,-0.75324374,-1.2622844,-6.4095125,1.0,0.0,145.43864515423775,34.35920992679894,12.927311848849058,27.66623074375093,25.184812888503075,7.200000000000006,0.0,7.899999999999988
